STATION_NAME,TOTAL_RAIN,MIN_TEMPERATURE,MAX_TEMPERATURE,LOCAL_DATE,ID,MEAN_TEMPERATURE
TORONTO INTL A,0,11.1,24,2024-06-01 00:00:00,6158731.2024.6.1,17.6
TORONTO INTL A,7,14.4,18.2,2024-06-02 00:00:00,6158731.2024.6.2,16.3
TORONTO INTL A,0,15.7,23.4,2024-06-03 00:00:00,6158731.2024.6.3,19.6
TORONTO INTL A,0,15.3,26.8,2024-06-04 00:00:00,6158731.2024.6.4,21.1
TORONTO INTL A,3.2,17.8,25.6,2024-06-05 00:00:00,6158731.2024.6.5,21.7
TORONTO INTL A,0.8,15.5,26.7,2024-06-06 00:00:00,6158731.2024.6.6,21.1
TORONTO INTL A,3.9,13.8,19.4,2024-06-07 00:00:00,6158731.2024.6.7,16.6
TORONTO INTL A,4.2,11.8,21.7,2024-06-08 00:00:00,6158731.2024.6.8,16.8
TORONTO INTL A,2.8,10.6,19,2024-06-09 00:00:00,6158731.2024.6.9,14.8
TORONTO INTL A,0,11.3,16.3,2024-06-10 00:00:00,6158731.2024.6.10,13.8
TORONTO INTL A,0,10.5,18.7,2024-06-11 00:00:00,6158731.2024.6.11,14.6
TORONTO INTL A,0,10.5,22.4,2024-06-12 00:00:00,6158731.2024.6.12,16.5
TORONTO INTL A,0.7,16.3,30.7,2024-06-13 00:00:00,6158731.2024.6.13,23.5
TORONTO INTL A,0,14.7,24,2024-06-14 00:00:00,6158731.2024.6.14,19.4
TORONTO INTL A,0,12.7,22.6,2024-06-15 00:00:00,6158731.2024.6.15,17.7
TORONTO INTL A,0,11.1,23.2,2024-06-16 00:00:00,6158731.2024.6.16,17.2
TORONTO INTL A,0,15.7,30.3,2024-06-17 00:00:00,6158731.2024.6.17,23
TORONTO INTL A,8.2,21.4,32.4,2024-06-18 00:00:00,6158731.2024.6.18,26.9
TORONTO INTL A,0.5,22.8,34.5,2024-06-19 00:00:00,6158731.2024.6.19,28.7
TORONTO INTL A,50.8,20.2,30.7,2024-06-20 00:00:00,6158731.2024.6.20,25.5
TORONTO INTL A,7.6,20.8,25.4,2024-06-21 00:00:00,6158731.2024.6.21,23.1
TORONTO INTL A,0.5,20.1,24.7,2024-06-22 00:00:00,6158731.2024.6.22,22.4
TORONTO INTL A,0.7,17.7,27.4,2024-06-23 00:00:00,6158731.2024.6.23,22.6
TORONTO INTL A,0,17.3,28.4,2024-06-24 00:00:00,6158731.2024.6.24,22.9
TORONTO INTL A,0,16.6,26.9,2024-06-25 00:00:00,6158731.2024.6.25,21.8
TORONTO INTL A,6.7,16,29,2024-06-26 00:00:00,6158731.2024.6.26,22.5
TORONTO INTL A,0,12.3,22.2,2024-06-27 00:00:00,6158731.2024.6.27,17.3
TORONTO INTL A,0,10.7,22.1,2024-06-28 00:00:00,6158731.2024.6.28,16.4
TORONTO INTL A,15.9,18,27.2,2024-06-29 00:00:00,6158731.2024.6.29,22.6
TORONTO INTL A,0.6,13,22.4,2024-06-30 00:00:00,6158731.2024.6.30,17.7
TORONTO INTL A,0,11,24.1,2024-07-01 00:00:00,6158731.2024.7.1,17.6
TORONTO INTL A,0,13.8,23.7,2024-07-02 00:00:00,6158731.2024.7.2,18.8
TORONTO INTL A,0,19.5,30,2024-07-03 00:00:00,6158731.2024.7.3,24.8
TORONTO INTL A,0,19,30.4,2024-07-04 00:00:00,6158731.2024.7.4,24.7
TORONTO INTL A,2.7,19.7,28.4,2024-07-05 00:00:00,6158731.2024.7.5,24.1
TORONTO INTL A,0,18.6,27.7,2024-07-06 00:00:00,6158731.2024.7.6,23.2
TORONTO INTL A,0,17.9,27.9,2024-07-07 00:00:00,6158731.2024.7.7,22.9
TORONTO INTL A,0,18,29.1,2024-07-08 00:00:00,6158731.2024.7.8,23.6
TORONTO INTL A,0,20.5,29.5,2024-07-09 00:00:00,6158731.2024.7.9,25
TORONTO INTL A,46.1,18,23.4,2024-07-10 00:00:00,6158731.2024.7.10,20.7
TORONTO INTL A,3.1,18.4,27.4,2024-07-11 00:00:00,6158731.2024.7.11,22.9
TORONTO INTL A,4,17.4,27.9,2024-07-12 00:00:00,6158731.2024.7.12,22.7
TORONTO INTL A,0,16.6,28.6,2024-07-13 00:00:00,6158731.2024.7.13,22.6
TORONTO INTL A,6.6,19.4,28.1,2024-07-14 00:00:00,6158731.2024.7.14,23.8
TORONTO INTL A,25.1,21,26.8,2024-07-15 00:00:00,6158731.2024.7.15,23.9
TORONTO INTL A,97.8,19.5,28.7,2024-07-16 00:00:00,6158731.2024.7.16,24.1
TORONTO INTL A,0,16.9,27.8,2024-07-17 00:00:00,6158731.2024.7.17,22.4
TORONTO INTL A,0,14.3,22.6,2024-07-18 00:00:00,6158731.2024.7.18,18.5
TORONTO INTL A,0,12.6,25.6,2024-07-19 00:00:00,6158731.2024.7.19,19.1
TORONTO INTL A,0,14.3,28.3,2024-07-20 00:00:00,6158731.2024.7.20,21.3
TORONTO INTL A,0,18.1,27.2,2024-07-21 00:00:00,6158731.2024.7.21,22.7
TORONTO INTL A,0.3,16.7,27.5,2024-07-22 00:00:00,6158731.2024.7.22,22.1
TORONTO INTL A,0.3,19.1,27.8,2024-07-23 00:00:00,6158731.2024.7.23,23.5
TORONTO INTL A,22,16.4,26.7,2024-07-24 00:00:00,6158731.2024.7.24,21.6
TORONTO INTL A,0,15.7,24.8,2024-07-25 00:00:00,6158731.2024.7.25,20.3
TORONTO INTL A,0,14.1,26.9,2024-07-26 00:00:00,6158731.2024.7.26,20.5
TORONTO INTL A,0,16,26.9,2024-07-27 00:00:00,6158731.2024.7.27,21.5
TORONTO INTL A,0,17,28.8,2024-07-28 00:00:00,6158731.2024.7.28,22.9
TORONTO INTL A,0,19,28.4,2024-07-29 00:00:00,6158731.2024.7.29,23.7
TORONTO INTL A,7.4,22.8,29,2024-07-30 00:00:00,6158731.2024.7.30,25.9
TORONTO INTL A,0,22.1,31.2,2024-07-31 00:00:00,6158731.2024.7.31,26.7
